T31,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,Grants of patents (number),"397,580",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
1,"Total, all countries or areas",1995,Grants of patents (number),"430,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
1,"Total, all countries or areas",2005,Grants of patents (number),"633,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
1,"Total, all countries or areas",2010,Grants of patents (number),"914,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
1,"Total, all countries or areas",2015,Grants of patents (number),"1,240,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
1,"Total, all countries or areas",2016,Grants of patents (number),"1,352,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
1,"Total, all countries or areas",2017,Grants of patents (number),"1,404,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
2,Africa,2005,Grants of patents (number),"4,800",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
2,Africa,2010,Grants of patents (number),"9,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
2,Africa,2015,Grants of patents (number),"8,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
2,Africa,2016,Grants of patents (number),"7,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
2,Africa,2017,Grants of patents (number),"9,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
21,Northern America,2005,Grants of patents (number),"159,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
21,Northern America,2010,Grants of patents (number),"238,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
21,Northern America,2015,Grants of patents (number),"320,600",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
21,Northern America,2016,Grants of patents (number),"329,500",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
21,Northern America,2017,Grants of patents (number),"342,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
419,Latin America & the Caribbean,2005,Grants of patents (number),"14,200",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
419,Latin America & the Caribbean,2010,Grants of patents (number),"17,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
419,Latin America & the Caribbean,2015,Grants of patents (number),"17,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
419,Latin America & the Caribbean,2016,Grants of patents (number),"18,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
419,Latin America & the Caribbean,2017,Grants of patents (number),"20,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
142,Asia,2005,Grants of patents (number),"288,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
142,Asia,2010,Grants of patents (number),"469,700",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
142,Asia,2015,Grants of patents (number),"700,400",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
142,Asia,2016,Grants of patents (number),"772,300",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
142,Asia,2017,Grants of patents (number),"803,100",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
150,Europe,2005,Grants of patents (number),"150,900",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed February 2019."
